Sign,ID,ShortDescription,LongDescription
,321,Promotion date/period,Date/period relevant for specific promotion activities.
,322,Accounting period,Self-explanatory.
,323,Horizon period,Period forming a (planning) horizon.
,324,Processing date/period,Date/period a specific process happened/will happen.
,325,Tax period,Period a tax rate/tax amount etc. is applicable.
,326,Charge period,Period a specified charge is valid for.
,327,Instalment payment due date,Self-explanatory.
,328,Payroll deduction date/time,Date/time of a monetary deduction made from the salary of a person on a payroll.
,329,Birth date/time,Date/time when a person was born.
,330,Joined employer date,Date when a person joins an employer.
,331,Contributions ceasing date/time,Date/time when contributions cease.
,332,Contribution period end date/time,Date/time when a contribution period ends.
,333,Part-time working change date/time,Date/time when the proportion of part-time work changes.
,334,Status change date/time,Date/time when a status changes.
,335,Contribution period start date/time,Date/time when a contribution period commences.
,336,Salary change effective date,Date when a change in salary becomes effective.
,337,Left employer date,Date when a person leaves an employer.
,338,Benefit change date/time,Date/time when a benefit provided by a service provider is changed.
,339,Category change date/time,Date/time when a change of category is made.
,340,Joined fund date/time,Date/time when a person joins a fund.
,341,Waiting time,The period of time between the moment at which one wants an activity to begin and the moment at which this activity can actually begin.
,342,On-board date,The date goods have been loaded on board of a conveyance.
,343,Date/time of discount termination,Date/time when the deduction from an amount comes to an end.
,344,Date/time of interest due,Date/time when the interest has to be paid.
,345,Days of operation,Week days of operation.
,346,Latest check-in time,Latest time of check-in.
,347,Slaughtering start date,Date on which slaughtering commenced.
,348,Packing start date,Date on which packing commenced.
,349,Packing end date,Date on which packing completed.
,350,Test start date,Date when a test has been started.
,351,Inspection date,Date of inspection.
,352,Slaughtering end date,Date on which slaughtering completed.
,353,Accounting transaction date,Date to which an accounting transaction refers.
,354,Activity period date range,A specific date range associated with an activity.
,355,Contractual delivery date,The date of delivery contractually agreed between parties.
,356,Sales date and or time and or period,The date and or time and or period on which a sale took place.
,357,Cancel if not published by this date,Cancel if not published by this date.
,358,Scheduled for delivery on or after,Scheduled for delivery on or after the specified date and or time.
,359,Scheduled for delivery on or before,Scheduled for delivery on or before specified date and or time.
,360,Sell by date,The date by which a product should be sold.
,361,Best before date,The best before date.
,362,End availability date,The end date of availability.
,363,Total shelf life period,A period indicating the total shelf life of a product.
,364,Minimum shelf life remaining at time of despatch period,Period indicating the minimum shelf life remaining for a product at the time of leaving the supplier.
,365,Packaging date,The date on which the packaging of a product took place.
,366,Inventory report date,Date on which a inventory report is made.
,367,Previous meter reading date,Date on which the previous reading of a meter took place.
,368,Latest meter reading date,Date on which the latest reading of a meter took place.
,369,Date and or time of handling estimated,The date and or time when the handling action is estimated to take place.
,370,Date when container equipment becomes domestic,The date on which foreign-built container equipment has entered into the commerce of another country and has become domestic equipment.
,371,Hydrotest date,The date equipment has been hydrotested.
,372,Equipment pre-trip date,The date on which equipment is pre-tripped.
,373,Mooring date and time,Date and time of mooring.
,374,Road fund tax expiry date,The date of expiry of the road fund tax.
,375,Date of first registration,Date of first registration.
,376,Biannual terminal inspection date,The date on which a biannual inspection of a terminal has taken or will take place.
,377,Federal HighWay Administration (FHWA) inspection date,The date on which container equipment is to be or has been inspected in accordance with the requirements of the U.S. Federal Highway Administration.
,378,Container Safety Convention (CSC) inspection date,The date on which container equipment is to be or has been inspected as per the Container Safety Convention (CSC).
,379,Periodic inspection date,The date on which a periodic inspection has to take place.
,380,Drawing revision date,Date the drawing revision has been allocated to a design.
,381,Product lifespan at time of production,The total lifespan of a product at the time of its production.
,382,Earliest sale date,The earliest date on which the product may be made available for sale.
,383,Cancel if not shipped by this date,Cancel the order if goods not shipped by this date.
,384,Previous invoice date,Indicates the date which was allocated to a previous invoice.
,387,Repair turnaround time,Provides the period of time necessary to turnaround a given repair.
,388,Order amendment binding date,The date when an order amendment becomes binding for both parties.
,389,Cure time,Specifies the length of time that an article was or should be cured.
,390,From date of award to delivery,Lead time to determine the delivery date based on the date an award is made.
,391,From date of receipt of item to approval,Lead time to determine the date an item will be approved based on the date the item was received.
,392,Equipment collection or pick-up date/time earliest,Date/time on which equipment can be picked up at the earliest.
,393,Equipment collection or pick-up date/time planned,Date/time on which equipment can be picked up either full or empty according to a planning.
,394,Equipment positioning date/time actual,Date/time on which equipment was actually positioned (delivered).
,395,Equipment positioning date/time estimated,Date/time on which equipment is estimated to be positioned (delivered).
,396,Equipment positioning date/time requested,Date/time on which equipment is requested to be positioned (delivered).
,397,Equipment positioning date/time ultimate,Date/time on which equipment should be positioned (delivered) at the latest.
,398,Goods collection or pick-up date/time planned,Date/time at which goods can be picked up according to a planning.
,399,Goods positioning date/time expected,Date/time on which goods are expected to be positioned.
,400,Cargo release date/time ultimate,Ultimate date/time at which goods or equipment should be released.
,401,Container Safety Convention (CSC) plate expiration date,Date on which the validity of a Container Safety Convention (CSC) plate expires.
,402,Document received date/time,Date/time on which the document was actually received.
,403,Discharge date/time actual,Date/time when the specified goods or transport equipment has or have been discharged from the means of transport.
,404,Loading date/time actual,Date/time when the specified goods or transport equipment has or have been loaded in or on the means of transport.
,405,Equipment collection or pick-up date/time actual,Date/time on which the equipment was actually collected.
,406,Goods positioning date/time planned,The date/time on which the goods will be positioned according to a planning.
,407,Document requested date/time,Date/time on which the document is requested by a party.
,408,Expected container hire from date/time,Estimated date and time when the containers are expected to go on-hire.
,409,Order completion date/time ultimate,Date/time on which the order should be completed at the latest.
,410,Equipment repair ready date/time ultimate,Ultimate date/time on which a piece of equipment must be repaired.
,411,Container stuffing date/time ultimate,Date/time on which the container stuffing should be completed at the latest.
,412,Container stripping date/time ultimate,Date/time on which the container stripping should be completed at the latest.
,413,Discharge and loading completed date/time,Date/time when all discharge and loading operations on the transport means have been completed.
,414,Equipment stock check date/time,Date/time on which equipment has been ascertained as being in stock.
,415,Activity reporting date,The date applicable to the activity being reported.
,416,Submission date,The date of a submission.
,417,Previous booking date/time,Date/time at which the previous booking was made.
,418,Minimum shelf life remaining at time of receipt,The minimum shelf life remaining at the time of receipt.
,419,Forecast period,A period for which a forecast applies.
,420,Unloaded date and time,To report the date and time that an unloading action occurred.
,421,Estimated acceptance date,To estimate the date of acceptance.
,422,Documentary credit issue date,The date the documentary credit has been issued.
,423,First date of ordering,The first date on which ordering may take place.
,424,Last date of ordering,The last date on which ordering may take place.
,425,Original posting date,Date when the entry was originally posted.
,426,Reinsurance payment frequency,The frequency of payments of reinsurance premiums.
,427,Adjusted age,The adjusted age used for purposes of calculation.
,428,Original issue age,The original issue age.
,429,Coverage duration,The period coverage has been in force.
,430,Coverage issue date,Date from which the anniversary coverage is measured.
,431,Flat extra period,Period for charging the additional extra.
,432,Paid to date,Date to which payments have been paid.
,433,Reinsurance coverage duration,The period for which reinsurance coverage has been in force.
,434,Maturity date,Date at which maturity occurs.
,435,Reinsurance issue age,The actual or equivalent age at time of issue.
,436,Reinsurance paid-up date,The date up to which the reinsurance has been paid.
,437,Benefit period,The period of time for which benefits are provided.
,438,Disability wait period,The period of time the insured must be disabled before reinsurance coverage becomes effective.
,439,Deferred Period,The period of time for which an activity has been postponed.
,440,Documentary credit amendment date,Date of amendment of a documentary credit.
,441,Last on hire date,Date the item was last placed on hire.
,442,Last off hire date,Date the item was last returned from hire.
,443,Direct interchange date,Date the item was directly interchanged.
,444,Approval date,Date of approval.
,445,Original estimate date,The date of the original estimate.
,446,Revised estimate date,The date the estimate was revised.
,447,Creditor's requested value date,Date on which the creditor requests to be credited.
,448,Referenced item creation date,Creation date of referenced item.
,449,Date for the last update,Date for the last update.
,450,Opening date,Date of opening.
,451,Source document capture date,Date source document data is entered into a business application.
,452,Trial balance period,Period covered by the trial balance.
,453,Date of source document,The date of the source document.
,454,Accounting value date,Date against which the entry has to be legally allocated.
,455,Expected value date,Date on which the funds are expected to be at the disposal of the beneficiary.
,456,Chart of account period,Period covered by the chart of account.
,457,Date of separation,Date of marital separation.
,458,Date of divorce,Date when two married persons are officially divorced.
,459,Date of marriage,Date when two persons are married.
,460,Wage period start date,Date when a period of wage begins.
,461,Wage period end date,Date when a period of wage ends.
,462,Working period start date,Date when a period of work begins.
,463,Working period end date,Date when a period of work ends.
,464,Embarkation date and time,Date and time at which crew and/or passengers board.
,465,Disembarkation date and time,Date and time at which crew and/or passengers disembark.
,466,Time now date,A time now date used for planning and scheduling purposes.
,467,Holiday,A date or period that is a break from work.
,468,Non working,To specify a non working date or period.
,469,Start date or time earliest,The earliest date or time for starting.
,470,Start date or time latest,The latest date or time for starting.
,471,Finish date or time earliest,The earliest date or time for finishing.
,472,Finish date or time latest,The latest date or time for finishing.
,473,Start date or time mandatory,The mandatory date or time for starting.
,474,Finish date or time mandatory,The mandatory date or time for finishing.
,475,Start date or time actual,The actual date or time for starting.
,476,Start date or time estimated,The estimated date or time for starting.
,477,Completion date or time estimated,The estimated date or time for completion.
,478,Start date or time scheduled,The scheduled date or time for starting.
,479,Completion date or time scheduled,The scheduled date or time for completion.
,480,Start date or time not before,The not before date or time for starting.
,481,Start date or time not after,The not after date or time for starting.
,482,Completion date or time not before,The not before date or time for completion.
,483,Completion date or time not after,The not after date or time for completion.
,484,Illness recovery date expected,Date when a person is expected to recover from illness.
,485,Period of illness start date,Date when a period of illness began.
,486,Period of illness end date,Date when a period of illness ends.
,487,Decease date,Date when a person died.
,488,Benefit period start date,Date when a period of benefit begins.
,489,Benefit period end date,Date when a period of benefit ends.
,490,Selection period start date,Date when a period of selection begins.
,491,Selection period end date,Date when a period of selection ends.
,493,Benefit payments termination date,To identify the date on which benefit payments have ceased.
,494,Covered income period,To identify the period over which covered income is measured.
,495,Current income period,To identify the period over which current income is measured.
,496,Reinstatement date,Identifies the date of reinstatement.
,497,Definition of disability duration,To identify the period for which the definition of disability applies.
,498,Previous termination date,Identifies the date of the previous termination.
,499,Premium change period,To identify the period of the premium change.
,500,Off-hire survey date,Date on which the equipment was surveyed at the end of the current leasing period.
,501,In service survey date,Date of survey of equipment while in use.
,502,On hire survey date,Date on which the equipment was surveyed at the beginning of the current leasing period.
,503,Production inspection date,Date of production inspection.
,504,Overtime start date,Date when a period of overtime begins.
,505,Overtime end date,Date when a period of overtime ends.
,506,Back order delivery date/time/period,The date/time/period during which the delivery of a back order will take or has taken place.
,507,Negotiations start date,The date on which negotiations started.
,508,Work effective start date,The date on which work will effectively start.
,509,Contract binding date,The date from which a contract becomes binding on the contracting parties.
,510,Notification time limit,The time limit which has been set for a notification to take place.
,511,Time limit,The time limit in which an event must take place.
,512,Attendance date and or time and or period,Date and or time and or period of attendance.
,513,Accident date and or time,Date and or time when an accident occurred.
,514,Adoption date actual,Actual date when adoption occurs.
,515,Reimbursement claim issue date and or time,Date and or time when a reimbursement claim is issued.
,516,Hospital admission date and or time,Date and or time of admission to a hospital.
,517,Hospital discharge date and or time,Date and or time of discharge from a hospital.
,518,Period of care start date and or time,Date and or time when a period of care starts.
,519,Period of care end date and or time,Date and or time when a period of care ends.
,520,Department admission date and or time,Date and or time of admission to a department.
,521,Department discharge date and or time,Date and or time of discharge from a department.
,522,Childbirth date and or time actual,Actual date and or time of childbirth.
,523,Prescription issue date and or time,Date and or time when a prescription was issued.
,524,Prescription dispensing date and or time,Date and or time when a prescription was dispensed.
,525,Clinical examination date and or time,Date and or time of clinical examination.
,526,Death date and or time,Date and or time of death.
,527,Childbirth date estimated,Estimated date of childbirth.
,528,Last menstrual cycle start date,Date when the last menstrual cycle started.
,529,Pregnancy duration actual,Actual duration of pregnancy.
,530,Fumigation date and/or time,The date/or time on which fumigation is to occur or has taken place.
,531,Payment period,A period of time in which a payment has been or will be made.
,532,Average delivery delay,The average delay between deliveries.
,533,Budget line application date,The date on which something has been applied to a budget line.
,534,Date of repair or service,The date of a repair or service.
,535,Date of product failure,The date the product failed.
